Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
First,2,7,7,Right-handed,I don't know,On your left side
First,3,5,7,Right-handed,I don't know,On your left side
First,3,15,7,Right-handed,I don't know,On your left side
First,4,3,7,Right-handed,I don't know,On your left side
First,4,5,7,Right-handed,I don't know,On your left side
First,5,3,7,Right-handed,I don't know,On your left side
First,6,4,7,Right-handed,I don't know,On your left side
First,7,8,7,Left-handed,I don't know,On your left side
First,8,3,7,Right-handed,I don't know,On your left side
First,9,6,7,Right-handed,I don't know,On your left side
First,9,10,7,Right-handed,I don't know,On your left side
First,2,2,7,Right-handed,Left leg in first,On your left side
First,3,3,7,Right-handed,Left leg in first,On your left side
First,4,2,7,Right-handed,Left leg in first,On your left side
First,4,5,7,Right-handed,Left leg in first,On your left side
First,4,10,7,Right-handed,Left leg in first,On your left side
First,4,25,7,Right-handed,Left leg in first,On your left side
First,5,4,7,Right-handed,Left leg in first,On your left side
First,5,6,7,Right-handed,Left leg in first,On your left side
First,5,10,7,Right-handed,Left leg in first,On your left side
First,6,3,7,Left-handed,Left leg in first,On your left side
First,6,5,7,Right-handed,Left leg in first,On your left side
First,6,6,7,Right-handed,Left leg in first,On your left side
First,6,7,7,Right-handed,Left leg in first,On your left side
First,7,2,7,Right-handed,Left leg in first,On your left side
First,8,6,7,Right-handed,Left leg in first,On your left side
First,8,15,7,Left-handed,Left leg in first,On your left side
First,8,15,7,Right-handed,Left leg in first,On your left side
First,9,50,7,Right-handed,Left leg in first,On your left side
First,3,3,7,Right-handed,Right leg in first,On your left side
First,4,2,7,Right-handed,Right leg in first,On your left side
First,5,5,7,Right-handed,Right leg in first,On your left side
First,5,8,7,Right-handed,Right leg in first,On your left side
First,6,5,7,Right-handed,Right leg in first,On your left side
First,7,3,7,Right-handed,Right leg in first,On your left side
First,7,5,7,Right-handed,Right leg in first,On your left side
First,7,15,7,Right-handed,Right leg in first,On your left side
First,8,4,7,Right-handed,Right leg in first,On your left side
First,8,5,7,Right-handed,Right leg in first,On your left side
First,10,4,7,Right-handed,Right leg in first,On your left side
First,2,6,7,Right-handed,I don't know,On your right side
First,3,1,7,Right-handed,I don't know,On your right side
First,5,4,7,Right-handed,I don't know,On your right side
First,6,10,7,Right-handed,I don't know,On your right side
First,6,10,7,Right-handed,I don't know,On your right side
First,7,9,7,Right-handed,I don't know,On your right side
First,8,10,7,Right-handed,I don't know,On your right side
First,2,10,7,Left-handed,Left leg in first,On your right side
First,3,1,7,Right-handed,Left leg in first,On your right side
First,3,3,7,Right-handed,Left leg in first,On your right side
First,4,1,7,Right-handed,Left leg in first,On your right side
First,4,4,7,Right-handed,Left leg in first,On your right side
First,4,5,7,Right-handed,Left leg in first,On your right side
First,4,5,7,Right-handed,Left leg in first,On your right side
First,4,7,7,Right-handed,Left leg in first,On your right side
First,5,3,7,Left-handed,Left leg in first,On your right side
First,5,3,7,Right-handed,Left leg in first,On your right side
First,5,4,7,Left-handed,Left leg in first,On your right side
First,5,5,7,Right-handed,Left leg in first,On your right side
First,5,5,7,Right-handed,Left leg in first,On your right side
First,5,5,7,Right-handed,Left leg in first,On your right side
First,6,5,7,Right-handed,Left leg in first,On your right side
First,6,8,7,Right-handed,Left leg in first,On your right side
First,6,10,7,Right-handed,Left leg in first,On your right side
First,7,7,7,Right-handed,Left leg in first,On your right side
First,8,1,7,Right-handed,Left leg in first,On your right side
First,8,2,7,Right-handed,Left leg in first,On your right side
First,8,7,7,Right-handed,Left leg in first,On your right side
First,8,7,7,Right-handed,Left leg in first,On your right side
First,8,10,7,Right-handed,Left leg in first,On your right side
First,2,2,7,Right-handed,Right leg in first,On your right side
First,2,6,7,Right-handed,Right leg in first,On your right side
First,3,3,7,Right-handed,Right leg in first,On your right side
First,3,5,7,Right-handed,Right leg in first,On your right side
First,3,5,7,Right-handed,Right leg in first,On your right side
First,4,3,7,Right-handed,Right leg in first,On your right side
First,4,6,7,Right-handed,Right leg in first,On your right side
First,4,10,7,Right-handed,Right leg in first,On your right side
First,4,16,7,Right-handed,Right leg in first,On your right side
First,5,0,7,Right-handed,Right leg in first,On your right side
First,5,14,7,Right-handed,Right leg in first,On your right side
First,6,5,7,Right-handed,Right leg in first,On your right side
First,6,10,7,Right-handed,Right leg in first,On your right side
First,7,6,7,Right-handed,Right leg in first,On your right side
First,8,5,7,Right-handed,Right leg in first,On your right side
First,8,8,7,Right-handed,Right leg in first,On your right side
First,8,8,7,Right-handed,Right leg in first,On your right side
First,8,8,7,Right-handed,Right leg in first,On your right side
First,8,10,7,Right-handed,Right leg in first,On your right side
First,8,10,7,Right-handed,Right leg in first,On your right side
First,8,13,7,Right-handed,Right leg in first,On your right side
First,8,15,7,Both,Right leg in first,On your right side
First,9,7,7,Right-handed,Right leg in first,On your right side
First,9,10,7,Right-handed,Right leg in first,On your right side
First,6,1,7,Right-handed,I don't know,On your stomach
First,8,30,7,Left-handed,I don't know,On your stomach
First,4,3,7,Left-handed,Left leg in first,On your stomach
First,4,3,7,Right-handed,Left leg in first,On your stomach
First,7,3,7,Right-handed,Left leg in first,On your stomach
First,7,5,7,Right-handed,Left leg in first,On your stomach
First,7,6,7,Right-handed,Left leg in first,On your stomach
First,7,10,7,Right-handed,Left leg in first,On your stomach
First,4,0,7,Right-handed,Right leg in first,On your stomach
First,4,5,7,Right-handed,Right leg in first,On your stomach
First,8,8,7,Right-handed,Right leg in first,On your stomach
First,8,10,7,Right-handed,Right leg in first,On your stomach
First,8,11,7,Right-handed,Right leg in first,On your stomach
First,8,15,7,Right-handed,Right leg in first,On your stomach
First,9,9,7,Right-handed,Right leg in first,On your stomach
First,9,10,7,Right-handed,Right leg in first,On your stomach
Fourth,6,5,7,Right-handed,Right leg in first,On your back
Fourth,7,3,7,Right-handed,Right leg in first,On your back
Fourth,7,3,7,Right-handed,Right leg in first,On your back
Fourth,8,9,7,Right-handed,Right leg in first,On your back
Fourth,6,3,7,Right-handed,I don't know,On your left side
Fourth,7,6,7,Right-handed,I don't know,On your left side
Fourth,10,10,7,Right-handed,I don't know,On your left side
Fourth,4,5,7,Right-handed,Left leg in first,On your left side
Fourth,5,4,7,Right-handed,Left leg in first,On your left side
Fourth,6,3,7,Right-handed,Left leg in first,On your left side
Fourth,8,5,7,Right-handed,Left leg in first,On your left side
Fourth,3,4,7,Right-handed,Right leg in first,On your left side
Fourth,4,4,7,Right-handed,Right leg in first,On your left side
Fourth,4,8,7,Right-handed,Right leg in first,On your left side
Fourth,6,20,7,Right-handed,Right leg in first,On your left side
Fourth,8,15,7,Right-handed,Right leg in first,On your left side
Fourth,7,7,7,Right-handed,I don't know,On your right side
Fourth,2,6,7,Left-handed,Left leg in first,On your right side
Fourth,3,1,7,Right-handed,Left leg in first,On your right side
Fourth,3,3,7,Right-handed,Left leg in first,On your right side
Fourth,3,4,7,Right-handed,Left leg in first,On your right side
Fourth,3,5,7,Right-handed,Left leg in first,On your right side
Fourth,4,6,7,Right-handed,Left leg in first,On your right side
Fourth,7,12,7,Both,Left leg in first,On your right side
Fourth,8,5,7,Right-handed,Left leg in first,On your right side
Fourth,5,5,7,Right-handed,Right leg in first,On your right side
Fourth,6,4,7,Left-handed,Right leg in first,On your right side
Fourth,6,10,7,Right-handed,Right leg in first,On your right side
Fourth,7,10,7,Right-handed,Right leg in first,On your right side
Fourth,2,3,7,Right-handed,I don't know,On your stomach
Fourth,5,4,7,Right-handed,Left leg in first,On your stomach
Fourth,8,6,7,Right-handed,Left leg in first,On your stomach
Fourth,4,2,7,Right-handed,Right leg in first,On your stomach
Second,2,3,7,Right-handed,I don't know,On your back
Second,3,2,7,Right-handed,I don't know,On your back
Second,4,5,7,Right-handed,I don't know,On your back
Second,5,3,7,Right-handed,I don't know,On your back
Second,6,4,7,Right-handed,I don't know,On your back
Second,7,8,7,Right-handed,I don't know,On your back
Second,7,9,7,Right-handed,I don't know,On your back
Second,7,10,7,Right-handed,I don't know,On your back
Second,7,30,7,Right-handed,I don't know,On your back
Second,3,2,7,Right-handed,Left leg in first,On your back
Second,4,3,7,Right-handed,Left leg in first,On your back
Second,4,10,7,Right-handed,Left leg in first,On your back
Second,5,4,7,Right-handed,Left leg in first,On your back
Second,5,6,7,Right-handed,Left leg in first,On your back
Second,5,8,7,Right-handed,Left leg in first,On your back
Second,5,12,7,Right-handed,Left leg in first,On your back
Second,5,15,7,Right-handed,Left leg in first,On your back
Second,6,10,7,Left-handed,Left leg in first,On your back
Second,6,30,7,Right-handed,Left leg in first,On your back
Second,7,5,7,Right-handed,Left leg in first,On your back
Second,7,8,7,Right-handed,Left leg in first,On your back
Second,8,2,7,Right-handed,Left leg in first,On your back
Second,8,4,7,Left-handed,Left leg in first,On your back
Second,8,13,7,Right-handed,Left leg in first,On your back
Second,1,0,7,Right-handed,Right leg in first,On your back
Second,2,2,7,Right-handed,Right leg in first,On your back
Second,2,3,7,Right-handed,Right leg in first,On your back
Second,3,4,7,Right-handed,Right leg in first,On your back
Second,4,2,7,Right-handed,Right leg in first,On your back
Second,4,3,7,Right-handed,Right leg in first,On your back
Second,5,3,7,Right-handed,Right leg in first,On your back
Second,5,5,7,Right-handed,Right leg in first,On your back
Second,5,8,7,Right-handed,Right leg in first,On your back
Second,6,6,7,Right-handed,Right leg in first,On your back
Second,7,5,7,Left-handed,Right leg in first,On your back
Second,7,5,7,Right-handed,Right leg in first,On your back
Second,7,6,7,Right-handed,Right leg in first,On your back
Second,8,5,7,Right-handed,Right leg in first,On your back
